Designator,Mid X,Mid Y,Rotation,Layer
ADC1,145.034,-58.42,0.0,top
C1,134.737335,-54.825171,180.0,top
C2,134.765335,-59.250171,180.0,top
C3,138.811,-57.785,180.0,top
C4,138.7845,-61.214,180.0,top
C5,127.145335,-56.837171,90.0,top
C6,138.811,-56.261,180.0,top
C7,138.7845,-59.69,180.0,top
J1,142.24,-50.8,90.0,top
J2,142.24,-66.04,90.0,top
JP1,158.638,-56.896,0.0,top
JP2,158.0,-59.69,0.0,top
LDO-A1,130.955335,-55.440171,270.0,top
LDO-D1,130.935335,-59.885171,270.0,top
R1,134.511335,-56.710171,0.0,top
R2,134.511335,-61.155171,0.0,top
